player_name,placement,has_killacure24,has_Chieffelix47,has_Rook,has_MarkMadness,has_socom1880,has_Arturias13,has_clayschubiner,kills,kdRatio,score,timePlayed,headshots,executions,assists,percentTimeMoving,longestStreak,scorePerMinute,damageDone,distanceTraveled,deaths,damageTaken,damageDonePerMinute,medalXp,objectiveTeamWiped,objectiveLastStandKill,matchXp,scoreXp,totalXp,challengeXp,objectiveDestroyedVehicleMedium,teamSurvivalTime,objectiveBrDownEnemyCircle3,objectiveBrDownEnemyCircle1,objectiveBrMissionPickupTablet,bonusXp,objectiveReviver,objectiveBrKioskBuy,objectiveBrDownEnemyCircle6,gulagDeaths,gulagKills,objectiveBrCacheOpen,miscXp,match_id,match_modeId,match_mapId,match_duration,match_playerCount,match_teamCount,match_mapName
Chieffelix47,4,False,True,True,False,True,False,True,3.0,3.0,3825.0,1529.0,1.0,0.0,0.0,93.945724,3.0,150.0981033355134,2065.0,532194.06,1.0,359.0,81.03335513407455,,,,,,,,,,,,,,,,,,,,,10475107182468907084,br_89,mp_donetsk2,1540.0,153,42,Verdansk
clayschubiner,4,False,True,True,False,True,False,True,2.0,2.0,5425.0,1532.0,0.0,0.0,0.0,89.07446,3.0,212.46736292428199,889.0,490188.44,1.0,213.0,34.81723237597911,30.0,,3.0,12816.0,12545.0,25448.0,0.0,,1397232.0,,2.0,6.0,0.0,,3.0,,0.0,0.0,1.0,0.0,10475107182468907084,br_89,mp_donetsk2,1540.0,153,42,Verdansk
Rook,4,False,True,True,False,True,False,True,0.0,0.0,9500.0,1532.0,0.0,0.0,0.0,95.33751,0.0,372.0626631853786,116.0,511792.75,1.0,305.0,4.543080939947781,,,,,,,,,,,,,,,,,,,,,10475107182468907084,br_89,mp_donetsk2,1540.0,153,42,Verdansk
socom1880,4,False,True,True,False,True,False,True,6.0,6.0,8700.0,1531.0,1.0,0.0,0.0,94.64162,6.0,340.95362508164595,2328.0,538876.5,1.0,201.0,91.23448726322665,,,,,,,,,,,,,,,,,,,,,10475107182468907084,br_89,mp_donetsk2,1540.0,153,42,Verdansk
clayschubiner,25,True,False,True,False,True,False,True,0.0,0.0,2600.0,853.0,0.0,0.0,0.0,75.42263,0.0,182.883939038687,6.0,450240.62,2.0,515.0,0.4220398593200469,30.0,,,5379.0,4800.0,10209.0,0.0,,750336.0,,,4.0,0.0,,1.0,,0.0,1.0,1.0,0.0,7020119969743786313,br_89,mp_donetsk2,1649.0,151,39,Verdansk
Rook,25,True,False,True,False,True,False,True,2.0,1.0,3375.0,852.0,0.0,0.0,0.0,91.6775,1.0,237.6760563380282,494.0,524671.06,2.0,458.0,34.7887323943662,,,,,,,,,,,,,,,,,,,,,7020119969743786313,br_89,mp_donetsk2,1649.0,151,39,Verdansk
killacure24,25,True,False,True,False,True,False,True,3.0,1.5,1950.0,853.0,1.0,0.0,0.0,92.3277,2.0,137.16295427901522,1054.0,454138.12,2.0,366.0,74.13833528722157,40.0,,2.0,5379.0,4150.0,9678.0,0.0,,750336.0,,3.0,4.0,0.0,,,,0.0,1.0,6.0,0.0,7020119969743786313,br_89,mp_donetsk2,1649.0,151,39,Verdansk
socom1880,25,True,False,True,False,True,False,True,0.0,0.0,1000.0,853.0,0.0,0.0,0.0,74.12224,0.0,70.33997655334116,55.0,371496.44,2.0,336.0,3.868698710433763,15.0,,,5379.0,3200.0,8594.0,0.0,,750336.0,,,4.0,0.0,,,,1.0,0.0,6.0,0.0,7020119969743786313,br_89,mp_donetsk2,1649.0,151,39,Verdansk
clayschubiner,16,True,False,False,False,True,False,True,2.0,1.0,3200.0,1132.0,0.0,0.0,0.0,90.909096,1.0,169.6113074204947,471.0,667670.4,2.0,464.0,24.964664310954063,0.0,1.0,,8986.0,7650.0,16708.0,0.0,,1003776.0,,2.0,5.0,0.0,1.0,2.0,,0.0,1.0,5.0,0.0,12262782835457486347,br_25,mp_donetsk2,1634.0,150,50,Verdansk
killacure24,16,True,False,False,False,True,False,True,2.0,1.0,6000.0,1130.0,2.0,0.0,0.0,90.909096,1.0,318.5840707964602,1186.0,672502.3,2.0,657.0,62.97345132743363,105.0,,,8986.0,10750.0,19893.0,0.0,,1003776.0,,,5.0,0.0,,4.0,,0.0,1.0,7.0,0.0,12262782835457486347,br_25,mp_donetsk2,1634.0,150,50,Verdansk
socom1880,16,True,False,False,False,True,False,True,1.0,0.5,6350.0,1131.0,0.0,0.0,0.0,94.25838,1.0,336.8700265251989,294.0,641412.3,2.0,677.0,15.59681697612732,0.0,,,8986.0,10800.0,19836.0,0.0,,1003776.0,,,5.0,0.0,,6.0,,0.0,1.0,4.0,0.0,12262782835457486347,br_25,mp_donetsk2,1634.0,150,50,Verdansk
Chieffelix47,18,False,True,False,False,False,True,True,3.0,1.5,5175.0,1107.0,1.0,0.0,0.0,93.13725,3.0,280.4878048780488,1960.0,382607.6,2.0,298.0,106.23306233062331,,,,,,,,,,,,,,,,,,,,,5905780222332170761,br_25,mp_donetsk2,1641.0,151,52,Verdansk
Arturias13,18,False,True,False,False,False,True,True,5.0,2.5,4950.0,1107.0,1.0,0.0,0.0,90.196075,4.0,268.2926829268293,1690.0,307164.9,2.0,788.0,91.59891598915989,,,,,,,,,,,,,,,,,,,,,5905780222332170761,br_25,mp_donetsk2,1641.0,151,52,Verdansk
clayschubiner,18,False,True,False,False,False,True,True,2.0,1.0,1225.0,1108.0,0.0,0.0,0.0,80.882355,2.0,66.33574007220216,591.0,299298.03,2.0,513.0,32.00361010830325,20.0,1.0,1.0,8851.0,1725.0,10651.0,0.0,,1006464.0,,2.0,2.0,0.0,,,,1.0,0.0,2.0,0.0,5905780222332170761,br_25,mp_donetsk2,1641.0,151,52,Verdansk
Chieffelix47,4,False,True,False,False,False,True,True,6.0,3.0,4975.0,1598.0,1.0,0.0,0.0,72.70916,3.0,186.7959949937422,2106.0,497982.72,2.0,736.0,79.0738423028786,,,,,,,,,,,,,,,,,,,,,257841491263855296,br_25,mp_donetsk2,1568.0,153,51,Verdansk
